Drive Homozygote Fitness,Introduction Frequency,Generations to 99% drive-carrying individuals
0.7,0.65,1000
0.7,0.66,1000
0.7,0.67,1000
0.7,0.68,1000
0.7,0.69,1000
0.7,0.7,1000
0.7,0.71,12.25
0.7,0.72,9.8
0.7,0.73,8.2
0.7,0.74,7.2
0.7,0.75,6.9
0.7,0.76,6.1
0.7,0.77,5.9
0.7,0.78,5.4
0.7,0.79,5.0
0.7,0.8,5.0
0.7,0.81,4.7
0.7,0.82,4.0
0.7,0.83,4.0
0.7,0.84,4.0
0.7,0.85,3.9
0.7,0.86,3.1
0.7,0.87,3.0
0.7,0.88,3.0
0.7,0.89,3.0
0.7,0.9,2.9
0.7,0.91,2.0
0.7,0.92,2.0
0.7,0.93,2.0
0.7,0.94,1.4
0.7,0.95,1.0
0.7,0.96,1.0
0.7,0.97,1.0
0.7,0.98,1.0
0.7,0.99,1.0
0.7,1.0,1.0
0.71,0.6,1000
0.71,0.61,1000
0.71,0.62,1000
0.71,0.63,1000
0.71,0.64,1000
0.71,0.65,1000
0.71,0.66,1000
0.71,0.67,1000
0.71,0.68,1000
0.71,0.69,1000
0.71,0.7,1000
0.71,0.71,11.5
0.71,0.72,8.9
0.71,0.73,7.9
0.71,0.74,7.0
0.71,0.75,6.4
0.71,0.76,6.0
0.71,0.77,5.9
0.71,0.78,5.0
0.71,0.79,5.0
0.71,0.8,5.0
0.71,0.81,4.4
0.71,0.82,4.0
0.71,0.83,4.0
0.71,0.84,4.0
0.71,0.85,3.9
0.71,0.86,3.2
0.71,0.87,3.0
0.71,0.88,3.0
0.71,0.89,3.0
0.71,0.9,2.9
0.71,0.91,2.0
0.71,0.92,2.0
0.71,0.93,2.0
0.71,0.94,1.2
0.71,0.95,1.0
0.71,0.96,1.0
0.71,0.97,1.0
0.71,0.98,1.0
0.71,0.99,1.0
0.71,1.0,1.0
0.72,0.6,1000
0.72,0.61,1000
0.72,0.62,1000
0.72,0.63,1000
0.72,0.64,1000
0.72,0.65,1000
0.72,0.66,1000
0.72,0.67,1000
0.72,0.68,1000
0.72,0.69,1000
0.72,0.7,13.75
0.72,0.71,10.2
0.72,0.72,8.6
0.72,0.73,7.9
0.72,0.74,7.0
0.72,0.75,6.4
0.72,0.76,6.0
0.72,0.77,5.4
0.72,0.78,5.0
0.72,0.79,5.0
0.72,0.8,4.9
0.72,0.81,4.2
0.72,0.82,4.0
0.72,0.83,4.0
0.72,0.84,4.0
0.72,0.85,3.8
0.72,0.86,3.0
